Row Names,instance_auroc,full_pixel_auroc
mvtec_screw,0.5167042426726789,0.27738528236478743
mvtec_pill,0.591925804691762,0.5067630001451353
mvtec_capsule,0.6122856003191065,0.37331334370070574
mvtec_carpet,0.5521669341894061,0.38370942678742515
mvtec_grid,0.4494569757727653,0.5034492275361502
mvtec_tile,0.5887445887445888,0.5226816789468306
mvtec_wood,0.5535087719298246,0.41707127252123505
mvtec_zipper,0.5850840336134454,0.6426157873352353
mvtec_cable,0.4411544227886057,0.44181686778441565
mvtec_toothbrush,0.5222222222222223,0.3972145027210431
mvtec_transistor,0.46499999999999997,0.4304153315164385
mvtec_metal_nut,0.4618768328445748,0.4765703831810884
mvtec_bottle,0.4261904761904762,0.4632083837304183
mvtec_hazelnut,0.5092857142857142,0.5092714540332096
mvtec_leather,0.48437499999999994,0.2637531772891678
Mean,0.5173321080176781,0.440615941306219
